bedrooms,bathrooms,toilets,parking_space,title,town,state,price
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,75000000.0
2.0,3.0,3.0,3.0,Semi Detached Bungalow,Ibeju Lekki,Lagos,12000000.0
5.0,5.0,6.0,2.0,Detached Duplex,Lekki,Lagos,110000000.0
2.0,2.0,3.0,1.0,Semi Detached Bungalow,Epe,Lagos,12000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,330000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Ajah,Lagos,45000000.0
4.0,4.0,4.0,5.0,Detached Duplex,Ajah,Lagos,50000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,135000000.0
4.0,2.0,2.0,4.0,Semi Detached Bungalow,Yaba,Lagos,40000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,280000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
4.0,5.0,5.0,4.0,Block of Flats,Ikoyi,Lagos,650000000.0
4.0,5.0,6.0,4.0,Terraced Duplexes,Katampe,Abuja,131000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,85000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,155000000.0
1.0,2.0,2.0,1.0,Block of Flats,Sango Ota,Ogun,6900000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Ifako-Ijaiye,Lagos,12500000.0
4.0,4.0,5.0,4.0,Detached Duplex,Agege,Lagos,60000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,105000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0
2.0,5.0,5.0,4.0,Block of Flats,Ikorodu,Lagos,22500000.0
5.0,5.0,6.0,2.0,Terraced Duplexes,Kaura,Abuja,70000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Jahi,Abuja,75000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,70000000.0
3.0,3.0,3.0,4.0,Detached Bungalow,Ibadan,Oyo,10000000.0
4.0,2.0,2.0,1.0,Terraced Bungalow,Sango Ota,Ogun,5000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,145000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Orozo,Abuja,52500000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,61000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0
5.0,5.0,5.0,1.0,Detached Bungalow,Ifo,Ogun,15000000.0
5.0,3.0,3.0,4.0,Detached Duplex,Owerri North,Imo,50000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,260000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,29800000.0
4.0,5.0,6.0,4.0,Terraced Duplexes,Lekki,Lagos,145000000.0
4.0,4.0,5.0,5.0,Semi Detached Duplex,Lekki,Lagos,150000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,80000000.0
5.0,6.0,8.0,1.0,Detached Duplex,Guzape District,Abuja,280000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,45000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Anambara,260000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Ikeja,Lagos,60000000.0
3.0,3.0,4.0,3.0,Terraced Bungalow,Mowe Ofada,Ogun,11500000.0
3.0,3.0,4.0,4.0,Block of Flats,Idu Industrial,Abuja,135000000.0
3.0,5.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,42000000.0
5.0,5.0,6.0,5.0,Semi Detached Duplex,Owerri Municipal,Imo,60000000.0
3.0,3.0,4.0,3.0,Terraced Bungalow,Lekki,Lagos,36436500.0
3.0,5.0,5.0,4.0,Block of Flats,Magodo,Lagos,55000000.0
3.0,3.0,3.0,4.0,Detached Bungalow,Sango Ota,Ogun,10000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikoyi,Lagos,1100000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,260000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Gwarinpa,Abuja,80000000.0
4.0,5.0,5.0,6.0,Detached Duplex,Lekki,Lagos,70000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
5.0,6.0,7.0,5.0,Detached Duplex,Lekki,Lagos,470000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Isheri North,Lagos,40000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,90000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Lekki,Lagos,200000000.0
2.0,5.0,5.0,4.0,Semi Detached Bungalow,Galadimawa,Abuja,30000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Katampe,Abuja,150000000.0
5.0,5.0,3.0,6.0,Detached Duplex,Utako,Abuja,250000000.0
6.0,6.0,7.0,1.0,Detached Duplex,Guzape District,Abuja,300000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,70000000.0
2.0,5.0,9.0,4.0,Detached Bungalow,Ibeju Lekki,Lagos,30000000.0
4.0,3.0,3.0,4.0,Terraced Duplexes,Guzape District,Abuja,49900000.0
5.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,70000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Port Harcourt,Rivers,85000000.0
4.0,4.0,4.0,2.0,Semi Detached Duplex,Kuje,Abuja,13000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,325000000.0
4.0,4.0,5.0,3.0,Terraced Duplexes,Jahi,Abuja,65000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,130000000.0
3.0,3.0,4.0,3.0,Semi Detached Duplex,Ajah,Lagos,50000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,65000000.0
6.0,6.0,7.0,5.0,Detached Duplex,Isheri,Lagos,140000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,80000000.0
8.0,1.0,1.0,4.0,Detached Duplex,Ibadan,Oyo,150000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Gwarinpa,Abuja,150000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Ikoyi,Lagos,240000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,450000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,500000000.0
3.0,4.0,4.0,4.0,Terraced Duplexes,Ikoyi,Lagos,240000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Life Camp,Abuja,60000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Victoria Island (VI),Lagos,115000000.0
3.0,2.0,2.0,4.0,Detached Bungalow,Ibadan,Oyo,11000000.0
5.0,7.0,7.0,7.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,4.0,4.0,3.0,Terraced Duplexes,Ikeja,Lagos,180000000.0
6.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,275000000.0
4.0,4.0,5.0,7.0,Detached Duplex,Lekki,Lagos,190000000.0
3.0,3.0,3.0,4.0,Detached Bungalow,Ipaja,Lagos,24000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Magodo,Lagos,75000000.0
4.0,5.0,5.0,4.0,Block of Flats,Owerri Municipal,Imo,130000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Lekki,Lagos,250000000.0
6.0,6.0,7.0,6.0,Detached Duplex,Ikoyi,Lagos,1300000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,48000000.0
4.0,5.0,5.0,2.0,Detached Bungalow,Ado-Odo/Ota,Ogun,6000000.0
3.0,3.0,4.0,2.0,Detached Bungalow,Ajah,Lagos,42000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Magodo,Lagos,85000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
3.0,2.0,2.0,2.0,Block of Flats,Ikeja,Lagos,300000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,70000000.0
3.0,3.0,4.0,3.0,Semi Detached Duplex,Magodo,Lagos,85000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,80000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,160000000.0
4.0,5.0,5.0,5.0,Detached Bungalow,Port Harcourt,Rivers,32000000.0
3.0,4.0,5.0,6.0,Detached Bungalow,Ibeju Lekki,Lagos,20000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,75000000.0
5.0,5.0,6.0,3.0,Terraced Duplexes,Lekki,Lagos,65000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Dape,Abuja,45000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,85000000.0
3.0,4.0,4.0,4.0,Terraced Duplexes,Lekki,Lagos,36000000.0
5.0,5.0,6.0,3.0,Detached Duplex,Ikoyi,Lagos,375000000.0
5.0,7.0,8.0,6.0,Detached Duplex,Lekki,Lagos,300000000.0
6.0,6.0,7.0,3.0,Detached Duplex,Isheri North,Ogun,140000000.0
1.0,5.0,5.0,4.0,Detached Bungalow,Mushin,Lagos,30000000.0
3.0,3.0,4.0,4.0,Block of Flats,Ejigbo,Lagos,55000000.0
9.0,9.0,1.0,1.0,Detached Duplex,Isolo,Lagos,70000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Guzape District,Abuja,65000000.0
3.0,2.0,2.0,4.0,Block of Flats,Oredo,Edo,25000000.0
5.0,5.0,6.0,8.0,Detached Duplex,Lokogoma District,Abuja,120000000.0
4.0,5.0,5.0,3.0,Terraced Duplexes,Ikoyi,Lagos,240000000.0
3.0,2.0,2.0,2.0,Detached Bungalow,Agege,Lagos,8000000.0
3.0,5.0,3.0,4.0,Terraced Duplexes,Lekki,Lagos,32000000.0
4.0,4.0,4.0,4.0,Detached Bungalow,Lokogoma District,Abuja,30000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Ojodu,Lagos,16000000.0
4.0,4.0,5.0,3.0,Terraced Duplexes,Lekki,Lagos,85000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,45000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,60000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,600000000.0
3.0,3.0,4.0,4.0,Terraced Duplexes,Ajah,Lagos,34900000.0
3.0,3.0,3.0,4.0,Detached Bungalow,Ibadan,Oyo,18000000.0
5.0,4.0,5.0,3.0,Detached Duplex,Ajah,Lagos,68000000.0
2.0,5.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,35000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,1350000000.0
4.0,4.0,5.0,3.0,Terraced Duplexes,Ikoyi,Lagos,380000000.0
5.0,6.0,7.0,5.0,Detached Duplex,Lekki,Lagos,120000000.0
7.0,7.0,8.0,4.0,Detached Duplex,Lekki,Lagos,200000000.0
3.0,4.0,4.0,3.0,Detached Bungalow,Lekki,Lagos,33000000.0
8.0,8.0,8.0,4.0,Detached Duplex,Lekki,Lagos,45000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikoyi,Lagos,1100000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
5.0,5.0,6.0,4.0,Terraced Duplexes,Gaduwa,Abuja,38000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,250000000.0
2.0,5.0,5.0,4.0,Detached Bungalow,Idu Industrial,Abuja,10000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Guzape District,Abuja,180000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Ajah,Lagos,45000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
4.0,4.0,5.0,4.0,Detached Bungalow,Enugu,Enugu,28500000.0
5.0,5.0,6.0,8.0,Detached Duplex,Dakwo,Abuja,80000000.0
5.0,6.0,7.0,3.0,Detached Duplex,Lekki,Lagos,70000000.0
1.0,5.0,5.0,1.0,Block of Flats,Ikorodu,Lagos,20000000.0
4.0,5.0,5.0,4.0,Block of Flats,Victoria Island (VI),Lagos,830000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,160000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Asokoro District,Abuja,150000000.0
4.0,4.0,5.0,3.0,Terraced Duplexes,Victoria Island (VI),Lagos,180000000.0
2.0,2.0,2.0,4.0,Detached Bungalow,Alimosho,Lagos,10000000.0
3.0,4.0,4.0,2.0,Terraced Duplexes,Sagamu,Ogun,21000000.0
4.0,4.0,5.0,5.0,Detached Duplex,Ajah,Lagos,65000000.0
3.0,3.0,4.0,5.0,Detached Bungalow,Ikorodu,Lagos,4000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,80000000.0
3.0,5.0,5.0,4.0,Detached Bungalow,Lokogoma District,Abuja,40000000.0
6.0,6.0,7.0,6.0,Detached Duplex,Ikoyi,Lagos,1300000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,55000000.0
5.0,5.0,5.0,1.0,Terraced Duplexes,Chikun,Kaduna,60000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,74000000.0
4.0,5.0,5.0,4.0,Block of Flats,Ibeju Lekki,Anambara,9000000.0
2.0,2.0,3.0,4.0,Detached Bungalow,Egbeda,Oyo,3000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,75000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ojodu,Lagos,85000000.0
4.0,4.0,4.0,3.0,Terraced Duplexes,Ikeja,Lagos,180000000.0
3.0,5.0,5.0,4.0,Semi Detached Bungalow,Mowe Ofada,Ogun,11500000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,120000000.0
4.0,4.0,5.0,1.0,Detached Bungalow,Port Harcourt,Rivers,30000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,125000000.0
4.0,4.0,4.0,4.0,Detached Duplex,Lekki,Lagos,65000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,1500000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Utako,Abuja,80000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,75000000.0
5.0,7.0,7.0,8.0,Semi Detached Duplex,Lekki,Lagos,80000000.0
3.0,3.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,45000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,35000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,47000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,145000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Lugbe District,Abuja,50000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,95000000.0
5.0,5.0,6.0,3.0,Semi Detached Duplex,Lekki,Lagos,160000000.0
2.0,2.0,3.0,3.0,Block of Flats,Jahi,Abuja,22000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,150000000.0
3.0,3.0,4.0,4.0,Terraced Duplexes,Katampe,Abuja,75000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,70000000.0
4.0,6.0,6.0,4.0,Semi Detached Duplex,Ikoyi,Lagos,240000000.0
4.0,5.0,5.0,4.0,Block of Flats,Magodo,Lagos,30000000.0
3.0,3.0,3.0,4.0,Detached Bungalow,Mowe Ofada,Ogun,16000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,140000000.0
2.0,3.0,3.0,4.0,Block of Flats,Lekki,Lagos,65000000.0
6.0,6.0,7.0,6.0,Detached Duplex,Ikeja,Lagos,450000000.0
5.0,5.0,7.0,6.0,Detached Duplex,Ikoyi,Lagos,1150000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Life Camp,Abuja,60000000.0
4.0,5.0,5.0,3.0,Detached Duplex,Lekki,Lagos,85000000.0
5.0,7.0,7.0,4.0,Detached Duplex,Wuye,Abuja,165000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,80000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Kubwa,Abuja,60900000.0
5.0,5.0,6.0,4.0,Detached Duplex,Magodo,Lagos,235000000.0
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,70000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,82000000.0
4.0,5.0,5.0,4.0,Detached Bungalow,Shomolu,Lagos,45000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,55000000.0
2.0,3.0,3.0,3.0,Block of Flats,Lekki,Lagos,50000000.0
5.0,5.0,6.0,8.0,Detached Duplex,Lekki,Lagos,150000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Anambara,75000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikeja,Lagos,130000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,190000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,350000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Ikoyi,Lagos,850000000.0
4.0,4.0,5.0,1.0,Terraced Duplexes,Ogudu,Lagos,75000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ikeja,Lagos,250000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ikoyi,Lagos,400000000.0
3.0,3.0,3.0,4.0,Terraced Duplexes,Lekki,Lagos,31000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0
4.0,6.0,6.0,4.0,Detached Duplex,Ibadan,Oyo,75000000.0
5.0,5.0,6.0,3.0,Terraced Duplexes,Ikoyi,Lagos,185000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Lugbe District,Abuja,32000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,550000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,160000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,90000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ikeja,Lagos,165000000.0
1.0,1.0,1.0,4.0,Block of Flats,Ibadan,Oyo,35000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Ikeja,Lagos,110000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,70000000.0
4.0,4.0,5.0,8.0,Detached Duplex,Lekki,Lagos,65000000.0
4.0,4.0,5.0,4.0,Semi Detached Bungalow,Lekki,Lagos,38500000.0
4.0,4.0,5.0,2.0,Detached Duplex,Ajah,Lagos,75000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,650000000.0
4.0,4.0,5.0,5.0,Detached Duplex,Lekki,Lagos,100000000.0
5.0,5.0,6.0,2.0,Detached Duplex,Lekki,Lagos,115000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,190000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Guzape District,Abuja,180000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,75000000.0
4.0,4.0,5.0,5.0,Terraced Duplexes,Ajah,Lagos,32000000.0
4.0,5.0,5.0,4.0,Block of Flats,Owerri West,Imo,150000000.0
5.0,5.0,6.0,8.0,Detached Bungalow,Ojodu,Lagos,60000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Ikoyi,Lagos,450000000.0
5.0,5.0,6.0,9.0,Detached Duplex,Sango Ota,Ogun,35000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Katampe,Abuja,420000000.0
2.0,2.0,2.0,2.0,Block of Flats,Ibafo,Ogun,5000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikeja,Lagos,125000000.0
5.0,6.0,7.0,6.0,Detached Duplex,Lekki,Lagos,110000000.0
5.0,5.0,5.0,8.0,Detached Duplex,Isolo,Lagos,52000000.0
3.0,5.0,5.0,4.0,Block of Flats,Lekki,Lagos,850000000.0
4.0,4.0,4.0,4.0,Semi Detached Duplex,Magodo,Lagos,75000000.0
3.0,5.0,4.0,4.0,Detached Duplex,Ikeja,Lagos,130000000.0
1.0,4.0,4.0,4.0,Detached Duplex,Surulere,Lagos,50000000.0
3.0,3.0,4.0,2.0,Block of Flats,Ikoyi,Lagos,190000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,120000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,60000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Isolo,Lagos,55000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Mowe Ofada,Ogun,16000000.0
3.0,5.0,5.0,4.0,Block of Flats,Obio-Akpor,Rivers,100000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Port Harcourt,Rivers,180000000.0
5.0,6.0,7.0,4.0,Detached Duplex,Ajah,Lagos,55000000.0
